sample_id	donor_id	bam	strandness	read_length
DD006RP2	DD006RP2	/projects/talisman/shared-data/HAEC-185/bams/DD006RP2.markdup.sorted.bam	rf	101
DD048Q	DD048Q	/projects/talisman/shared-data/HAEC-185/bams/DD048Q.markdup.sorted.bam	rf	101
DD018PP2	DD018PP2	/projects/talisman/shared-data/HAEC-185/bams/DD018PP2.markdup.sorted.bam	rf	101
DD009RP2	DD009RP2	/projects/talisman/shared-data/HAEC-185/bams/DD009RP2.markdup.sorted.bam	rf	101
DD035QP2	DD035QP2	/projects/talisman/shared-data/HAEC-185/bams/DD035QP2.markdup.sorted.bam	rf	101
DD056N	DD056N	/projects/talisman/shared-data/HAEC-185/bams/DD056N.markdup.sorted.bam	rf	101
DD030PP2	DD030PP2	/projects/talisman/shared-data/HAEC-185/bams/DD030PP2.markdup.sorted.bam	rf	101
DD048OP2	DD048OP2	/projects/talisman/shared-data/HAEC-185/bams/DD048OP2.markdup.sorted.bam	rf	101
DD064QP2	DD064QP2	/projects/talisman/shared-data/HAEC-185/bams/DD064QP2.markdup.sorted.bam	rf	101
DD057OP2	DD057OP2	/projects/talisman/shared-data/HAEC-185/bams/DD057OP2.markdup.sorted.bam	rf	101
DD008RP2	DD008RP2	/projects/talisman/shared-data/HAEC-185/bams/DD008RP2.markdup.sorted.bam	rf	101
DD040OP2	DD040OP2	/projects/talisman/shared-data/HAEC-185/bams/DD040OP2.markdup.sorted.bam	rf	101
DD031OP2	DD031OP2	/projects/talisman/shared-data/HAEC-185/bams/DD031OP2.markdup.sorted.bam	rf	101
DD039PP2	DD039PP2	/projects/talisman/shared-data/HAEC-185/bams/DD039PP2.markdup.sorted.bam	rf	101
DD037QP2	DD037QP2	/projects/talisman/shared-data/HAEC-185/bams/DD037QP2.markdup.sorted.bam	rf	101
UNM28	UNM28	/projects/talisman/shared-data/HAEC-185/bams/UNM28.markdup.sorted.bam	rf	101
DD019QP2	DD019QP2	/projects/talisman/shared-data/HAEC-185/bams/DD019QP2.markdup.sorted.bam	rf	101
DD054QP2	DD054QP2	/projects/talisman/shared-data/HAEC-185/bams/DD054QP2.markdup.sorted.bam	rf	101
DD071Q	DD071Q	/projects/talisman/shared-data/HAEC-185/bams/DD071Q.markdup.sorted.bam	rf	101
DD078OP2	DD078OP2	/projects/talisman/shared-data/HAEC-185/bams/DD078OP2.markdup.sorted.bam	rf	101
